used_part_id,fieldbeat_task_id,zendesk_ticket_id,part_name,raw_part_identifier,normalized_part_identifier,dolibarr_product_id,dolibarr_ref,dolibarr_barcode,dolibarr_label,match_method,match_confidence,match_status,needs_manual_review,candidate_dolibarr_product_ids
"2046|2|0|1534191
1534195",2046,761642,"Fru pcb, side A cant=1
Fru pcb, side B cant =2","1534191
1534195",15341911534195,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,11018|11022
2066|3|0|45133411850,2066,,"Cable Assy, PL9 to SK9",45133411850,45133411850,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,12189|11682|12204
"2088|3|0|45133502026
1502613
1505891
1538094",2088,743842,"x-rays tube
laser ODI spares kit
spec, sfhr400, kv gen
control board, kv gen","45133502026
1502613
1505891
1538094",45133502026150261315058911538094,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,10994|12203|12137
2110|4|0|1547237,2110,,"Kit, Luminus Proj Assy and PCB, Assy Led Control",1547237,1547237,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,12086|10767
"2170|2|0|45133317849
45133317850
1016984
45133318485
45133318486
45133318488
45133318487
45133318489",2170,,"PCB 811 INTERCONNECT LADO B
PCB 812 INTERCONNECT LADO A
ISO ROTATION BRAKE
CABLE SKT 810A-PL801A
CABLE SKT 810B-PL801B
CABLE SKT 810E-PL801E
CABLE SKT 810C-PL802C
CABLE SKT 810F-PL802F","45133317849
45133317850
1016984
45133318485
45133318486
45133318488
45133318487
45133318489",451333178494513331785010169844513331848545133318486451333184884513331848745133318489,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,10906|11248|11249|12160|12161|12163|12162|12164
"2173|3|0|4513341185001U
4513341184601U",2173,303706,cable PL9 y PL5,"4513341185001U
4513341184601U",4513341185001U4513341184601U,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,11694|11682
2191|2|0|1553878,2191,381608,Z motor abd Brake,1553878,1553878,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,11247|12176
"2271|2|0|1531858
1531855
1531854",2271,151048,"fru Z mov. coarse pot
fru Z mov. check pot
fru Z mov. fine pot","1531858
1531855
1531854",153185815318551531854,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,12224|12223|12225
2597|2|0|1534958 _1517657,2597,,Kit motor y Pcb leaf motoe Drive,1534958 _1517657,15349581517657,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,10701|11034
2675|8|0|45133326854,2675,412,Mirror assembly (Mylar),45133326854,45133326854,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,10136|11863
2784|2|0|1553878,2784,,Z motor and brake,1553878,1553878,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,11247|12176
2839|2|0|1010256,2839,8855,12 bit analogía output pcb,1010256,1010256,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,11877|10115
2868|2|0|1547237,2868,8912,"kit, luminus proj assy and PCB assy, LED CONTROL ",1547237,1547237,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,12086|10767
2872|4|0|1547237,2872,8884,"kit, luminus proj assy and PCB assy, LED control",1547237,1547237,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,12086|10767
2885|2|0|1526646-1500998-1024939,2885,8943,"PCB LED CONTROL
LED PROJECTOR
LED PROJECTOR FAN",1526646-1500998-1024939,152664615009981024939,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,10776|10769
2954|2|0|1547237,2954,9037,"KIT, LUMINUS PORJ ASSY AND PCB ASSY, LED CONTROL",1547237,1547237,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,12086|10767
3257|2|0|1547237,3257,,"KIT, LUMINUS PROJ ASSY AND PCB ASSY, LED CONTROL",1547237,1547237,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,12086|10767
3280|2|0|1553878,3280,9494,"FRU, Z DRIVE MOTOR/BRAKE ASSEMBLY",1553878,1553878,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,11247|12176
3349|2|0|1529520-1527814,3349,8824,"Slitless Fligth Tube 
PSU Ion Pump",1529520-1527814,15295201527814,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,11929|12294
3355|2|0|2179204 // 020870,3355,,MANILLA ROBOT / SENSOR IR CARRUSEL,2179204 // 020870,2179204020870,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,12316|11214
3358|2|0|45133326854,3358,,MOUNT MIRROR,45133326854,45133326854,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,10136|11863
3392|2|0|LMD. 45133909025. ME 1008587,3392,,"Leaf motor drive.

Módulo electrónico MLC",LMD. 45133909025. ME 1008587,LMD45133909025ME1008587,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,11122|10944
3587|2|0|45133411850,3587,9971,cable assy PL9 to SK9A1/2,45133411850,45133411850,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,12189|11682|12204
3686|2|0|517657,3686,10081,"kit, spares, leaf motor ",517657,517657,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,10701|11868
3693|2|0|1010848-1564169,3693,10088,"Mirror Assembly optics
kit, luminus Proj. Assy and PCB LED Control",1010848-1564169,10108481564169,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,11037|12262
3722|2|0|0000,3722,,Cable de red CAT6,0000,0000,,,,,REF_LIKE,0.5,AMBIGUOUS_MATCH,true,11966|12238|11137|11624|12228|11173|11115|10921|10922|11238|12239|11560|11594|11513|10890|11672|11673|11196|11197|11199|11200|11202|11201|11654|12012
