path,extension,size_bytes,category,type,source_or_generated,should_version,responsibility,consumed_by,produces,risk,notes
.env.example,.example,489,configuración,plantilla,TEMPLATE,true,Configuración del repo,,,BAJO,
.gitignore,,70,configuración,configuración,SOURCE,true,Configuración del repo,,,BAJO,
apps/nexus-bi-app/app/api/audit/ambiguous-parts/route.ts,.ts,3197,app API,endpoint/API,SOURCE,true,Route Handler de Next.js (solo lectura sobre DuckDB),,,MEDIO,
apps/nexus-bi-app/app/api/audit/parts-review/route.ts,.ts,4339,app API,endpoint/API,SOURCE,true,Route Handler de Next.js (solo lectura sobre DuckDB),,,MEDIO,
apps/nexus-bi-app/app/api/audit/placeholders/route.ts,.ts,2977,app API,endpoint/API,SOURCE,true,Route Handler de Next.js (solo lectura sobre DuckDB),,,MEDIO,
apps/nexus-bi-app/app/api/audit/reports-review/route.ts,.ts,3605,app API,endpoint/API,SOURCE,true,Route Handler de Next.js (solo lectura sobre DuckDB),,,MEDIO,
apps/nexus-bi-app/app/api/audit/summary/route.ts,.ts,2769,app API,endpoint/API,SOURCE,true,Route Handler de Next.js (solo lectura sobre DuckDB),,,MEDIO,
apps/nexus-bi-app/app/api/audit/ticket-links-review/route.ts,.ts,3403,app API,endpoint/API,SOURCE,true,Route Handler de Next.js (solo lectura sobre DuckDB),,,MEDIO,
apps/nexus-bi-app/app/api/dashboard/after-hours/by-client/route.ts,.ts,2869,app API,endpoint/API,SOURCE,true,Route Handler de Next.js (solo lectura sobre DuckDB),,,MEDIO,
apps/nexus-bi-app/app/api/dashboard/after-hours/by-period/route.ts,.ts,2972,app API,endpoint/API,SOURCE,true,Route Handler de Next.js (solo lectura sobre DuckDB),,,MEDIO,
apps/nexus-bi-app/app/api/dashboard/after-hours/by-task-type/route.ts,.ts,2755,app API,endpoint/API,SOURCE,true,Route Handler de Next.js (solo lectura sobre DuckDB),,,MEDIO,
apps/nexus-bi-app/app/api/dashboard/after-hours/by-technician/route.ts,.ts,2758,app API,endpoint/API,SOURCE,true,Route Handler de Next.js (solo lectura sobre DuckDB),,,MEDIO,
