used_part_id,fieldbeat_task_id,zendesk_ticket_id,part_number,part_name,quantity,raw_original_part_number,raw_original_part_name,origin_location,photo_ref,dolibarr_product_id,dolibarr_ref,unit_cost,estimated_total_cost,needs_manual_review,extracted_at
"951|2|0|107043-11
107771-11",951,,"107043-11
107771-11","Computador TCS HP 5810 RP5
DVD instalación y Servicio Oncentra TCS",,"107043-11
107771-11","Computador TCS HP 5810 RP5
DVD instalación y Servicio Oncentra TCS",,,,"107043-11
107771-11",,,false,2026-07-01T18:10:26.296Z
952|2|0|SN,952,,SN,NA,,SN,NA,,,,SN,,,false,2026-07-01T18:10:26.296Z
953|2|0|1007545,953,,1007545,MLC reflector spares kit,,"1.- 1007545
2.- 451333326854
3.- 1010495
4.- 45133327662
5.- 4513332766303F
6.- 155579","1- MLC reflector spares kit 
2- Mout, mirror (mylar)
3- Camera mirror assemb
4- Beam Splitter mirror 
5- proyector mirror Assy
6- Lens Ricoh FL-Bc1218A",,,,1007545,,,false,2026-07-01T18:10:26.296Z
953|2|1|451333326854,953,,451333326854,"Mout, mirror (mylar)",,"1.- 1007545
2.- 451333326854
3.- 1010495
4.- 45133327662
5.- 4513332766303F
6.- 155579","1- MLC reflector spares kit 
2- Mout, mirror (mylar)
3- Camera mirror assemb
4- Beam Splitter mirror 
5- proyector mirror Assy
6- Lens Ricoh FL-Bc1218A",,,,451333326854,,,false,2026-07-01T18:10:26.296Z
953|2|2|1010495,953,,1010495,Camera mirror assemb,,"1.- 1007545
2.- 451333326854
3.- 1010495
4.- 45133327662
5.- 4513332766303F
6.- 155579","1- MLC reflector spares kit 
2- Mout, mirror (mylar)
3- Camera mirror assemb
4- Beam Splitter mirror 
5- proyector mirror Assy
6- Lens Ricoh FL-Bc1218A",,,,1010495,,,false,2026-07-01T18:10:26.296Z
953|2|3|45133327662,953,,45133327662,Beam Splitter mirror,,"1.- 1007545
2.- 451333326854
3.- 1010495
4.- 45133327662
5.- 4513332766303F
6.- 155579","1- MLC reflector spares kit 
2- Mout, mirror (mylar)
3- Camera mirror assemb
4- Beam Splitter mirror 
5- proyector mirror Assy
6- Lens Ricoh FL-Bc1218A",,,,45133327662,,,false,2026-07-01T18:10:26.296Z
953|2|4|4513332766303F,953,,4513332766303F,proyector mirror Assy,,"1.- 1007545
2.- 451333326854
3.- 1010495
4.- 45133327662
5.- 4513332766303F
6.- 155579","1- MLC reflector spares kit 
2- Mout, mirror (mylar)
3- Camera mirror assemb
4- Beam Splitter mirror 
5- proyector mirror Assy
6- Lens Ricoh FL-Bc1218A",,,,4513332766303F,,,false,2026-07-01T18:10:26.296Z
953|2|5|155579,953,,155579,Lens Ricoh FL-Bc1218A,,"1.- 1007545
2.- 451333326854
3.- 1010495
4.- 45133327662
5.- 4513332766303F
6.- 155579","1- MLC reflector spares kit 
2- Mout, mirror (mylar)
3- Camera mirror assemb
4- Beam Splitter mirror 
5- proyector mirror Assy
6- Lens Ricoh FL-Bc1218A",,,,155579,,,false,2026-07-01T18:10:26.296Z
"954|2|0|motores: 451333264430
tornillo: 8113024 2521_01",954,,"motores: 451333264430
tornillo: 8113024 2521_01",03 motores y 01 tornillo.,,"motores: 451333264430
tornillo: 8113024 2521_01",03 motores y 01 tornillo.,,,,"motores: 451333264430
tornillo: 8113024 2521_01",,,false,2026-07-01T18:10:26.296Z
955|2|0|1347987,955,,1347987,pcb motor drive,,1347987,pcb motor drive,,,,1347987,,,false,2026-07-01T18:10:26.296Z
956|2|0|No hay,956,,No hay,No hay,,No hay,No hay,,,,No hay,,,false,2026-07-01T18:10:26.296Z
957|2|0|1017632,957,,1017632,"pcb assy, camera CCU",,1017632,"pcb assy, camera CCU",,,,1017632,,,false,2026-07-01T18:10:26.296Z
960|2|0|NA,960,,NA,NA,,NA,NA,,,,NA,,,false,2026-07-01T18:10:26.296Z
96|2|0|s/n,96,,s/n,no hay,,s/n,no hay,,,,s/n,,,false,2026-07-01T18:10:26.296Z
94|2|0|1018268,94,,1018268,"FRU MOTOR BRUSH SET (ELECTROCRAFT).
",,1018268,"FRU MOTOR BRUSH SET (ELECTROCRAFT).
",,,,1018268,,,false,2026-07-01T18:10:26.296Z
92|2|0|sin numero,92,,sin numero,no hay,,sin numero,no hay,,,,sin numero,,,false,2026-07-01T18:10:26.296Z
90|2|0|No hay.,90,,No hay. ,Brocha y aspiradora.,,No hay. ,Brocha y aspiradora.,,,,No hay. ,,,false,2026-07-01T18:10:26.296Z
89|2|0|No hay,89,,No hay,No hay,,No hay,No hay,,,,No hay,,,false,2026-07-01T18:10:26.296Z
87|2|0|1016474,87,,1016474,1 Freno DLG,,1016474,1 Freno DLG,,,,1016474,,,false,2026-07-01T18:10:26.296Z
85|2|0|N/A,85,,N/A,N/C,,N/A,N/C,,,,N/A,,,false,2026-07-01T18:10:26.296Z
81|2|0|,81,,,DLG PCB  SN 1538489 / 1 Tornillo-Nuez-Motor Agility Banco Y2,,,DLG PCB  SN 1538489 / 1 Tornillo-Nuez-Motor Agility Banco Y2,,,,,,,false,2026-07-01T18:10:26.296Z
8|2|0|no hay,8,,no hay,no hay ,,no hay,no hay ,,,,no hay,,,false,2026-07-01T18:10:26.296Z
78|2|0|45133308530,78,,45133308530,Magnetron MG6370E.  Serie 18088055,,45133308530,Magnetron MG6370E.  Serie 18088055,,,,45133308530,,,false,2026-07-01T18:10:26.296Z
76|2|0|,76,,,Fusible de retardo de 10 amp. ,,,Fusible de retardo de 10 amp. ,,,,,,,false,2026-07-01T18:10:26.296Z
74|2|0|Sin numero,74,,Sin numero,Conector Rs,,Sin numero,Conector Rs,,,,Sin numero,,,false,2026-07-01T18:10:26.296Z
72|2|0|No hay,72,,No hay ,No hay,,No hay ,No hay,,,,No hay ,,,false,2026-07-01T18:10:26.296Z
70|2|0|9239 315 18204,70,,9239 315 18204,"Ampolleta PHILLIPS 13,8V50W.  GX5.3.    N/P. 13289.",,9239 315 18204,"Ampolleta PHILLIPS 13,8V50W.  GX5.3.    N/P. 13289.",,,,9239 315 18204,,,false,2026-07-01T18:10:26.296Z
67|2|0|No hay.,67,,No hay.,No hay.,,No hay.,No hay.,,,,No hay.,,,false,2026-07-01T18:10:26.296Z
63|2|0|1026565,63,,1026565,Temp Controller NSerie 900658090004,,1026565,Temp Controller NSerie 900658090004,,,,1026565,,,false,2026-07-01T18:10:26.296Z
61|2|0|N/A,61,,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
6|2|0|None,6,,None,None,,None,None,,,,None,,,false,2026-07-01T18:10:26.296Z
56|2|0|No hay,56,,No hay,No hay,,No hay,No hay,,,,No hay,,,false,2026-07-01T18:10:26.296Z
54|2|0|8213-219-00352,54,,8213-219-00352,Fuse 10A - 250V,,8213-219-00352,Fuse 10A - 250V,,,,8213-219-00352,,,false,2026-07-01T18:10:26.296Z
50|3|0|653950-001,50,,653950-001,Disco HP 146GB 15K 6G SFF DÍAS x1,,653950-001,Disco HP 146GB 15K 6G SFF DÍAS x1,,,,653950-001,,,false,2026-07-01T18:10:26.296Z
50|2|0|669324-B21,50,,669324-B21,Memoria HP 8GB PC3-12600 DDR3 ECC x64,,669324-B21,Memoria HP 8GB PC3-12600 DDR3 ECC x64,,,,669324-B21,,,false,2026-07-01T18:10:26.296Z
"45|3|0|4514 332 6854
4513 332 7662
4513 332 7662
4513 316 4412",45,,"4514 332 6854
4513 332 7662
4513 332 7662
4513 316 4412","Mirror Assembly
Beam Spitter Mirror Assy
Beam Spitter Mirror
Fine Pot 20K ",,"4514 332 6854
4513 332 7662
4513 332 7662
4513 316 4412","Mirror Assembly
Beam Spitter Mirror Assy
Beam Spitter Mirror
Fine Pot 20K ",,,,"4514 332 6854
4513 332 7662
4513 332 7662
4513 316 4412",,,false,2026-07-01T18:10:26.296Z
41|2|0|,41,,,"Sesión Webex
",,,"Sesión Webex
",,,,,,,false,2026-07-01T18:10:26.296Z
4|2|0|cafe 2335689,4,,cafe 2335689,Escobas huaipe ,,cafe 2335689,Escobas huaipe ,,,,cafe 2335689,,,false,2026-07-01T18:10:26.296Z
38|2|0|N/A,38,,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
36|2|0|No hay.,36,,"No hay.
",Grasa. WD40. Paños de limpieza.,,"No hay.
",Grasa. WD40. Paños de limpieza.,,,,"No hay.
",,,false,2026-07-01T18:10:26.296Z
34|2|0|none,34,,none,none,,none,none,,,,none,,,false,2026-07-01T18:10:26.296Z
32|3|0|647907-B21,32,,647907-B21,HP 4GB 2RX8 PC3L-10600E MEMORY MODULE (1X4GB),,647907-B21,HP 4GB 2RX8 PC3L-10600E MEMORY MODULE (1X4GB),,,,647907-B21,,,false,2026-07-01T18:10:26.296Z
32|2|0|C7975A,32,,C7975A,HPE Ultrium LTO-5 3TB RW Data Tape,,C7975A,HPE Ultrium LTO-5 3TB RW Data Tape,,,,C7975A,,,false,2026-07-01T18:10:26.296Z
30|2|0|no hay,30,,no hay,insumos WD40 y Limpia contacto y elementos de limpieza de optica.,,no hay,insumos WD40 y Limpia contacto y elementos de limpieza de optica.,,,,no hay,,,false,2026-07-01T18:10:26.296Z
99|2|0|No hay.,99,,No hay.,"Grasa EP2, aceite liviano y paños limpieza.",,No hay.,"Grasa EP2, aceite liviano y paños limpieza.",,,,No hay.,,,false,2026-07-01T18:10:26.296Z
95|2|0|4513 331 8864,95,,4513 331 8864,Potenciometro Check ,,4513 331 8864,Potenciometro Check ,,,,4513 331 8864,,,false,2026-07-01T18:10:26.296Z
93|2|0|No hay.,93,,No hay.,"Limpiacontacto, paños de limpieza y grasa EP2.",,No hay.,"Limpiacontacto, paños de limpieza y grasa EP2.",,,,No hay.,,,false,2026-07-01T18:10:26.296Z
9|2|0|No hay,9,,No hay ,No hay,,No hay ,No hay,,,,No hay ,,,false,2026-07-01T18:10:26.296Z
88|2|0|No hay.,88,,No hay.,No hay.,,No hay.,No hay.,,,,No hay.,,,false,2026-07-01T18:10:26.296Z
84|2|0|1505720,84,,1505720,PCB Detector Control Board (DCB),,1505720,PCB Detector Control Board (DCB),,,,1505720,,,false,2026-07-01T18:10:26.296Z
82|2|0|,82,,,4 Nueces-Tornillos-Motor,,,4 Nueces-Tornillos-Motor,,,,,,,false,2026-07-01T18:10:26.296Z
80|2|0|No hay.,80,,No hay.,No hay.,,No hay.,No hay.,,,,No hay.,,,false,2026-07-01T18:10:26.296Z
79|2|0|N/A,79,,N/A,no hay ,,N/A,no hay ,,,,N/A,,,false,2026-07-01T18:10:26.296Z
77|2|0|No hay,77,,No hay,No hay,,No hay,No hay,,,,No hay,,,false,2026-07-01T18:10:26.296Z
75|2|0|no aplica,75,,no aplica,no aplica,,no aplica,no aplica,,,,no aplica,,,false,2026-07-01T18:10:26.296Z
73|2|0|N/A,73,,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
7|2|0|100000001,7,,100000001,barros luco,,100000001,barros luco,,,,100000001,,,false,2026-07-01T18:10:26.296Z
68|2|0|T21321900352,68,,T21321900352,fusible de retardo 10 amp.,,T21321900352,fusible de retardo 10 amp.,,,,T21321900352,,,false,2026-07-01T18:10:26.296Z
66|2|0|1526647,66,,1526647,DLG PCB,,1526647,DLG PCB,,,,1526647,,,false,2026-07-01T18:10:26.296Z
64|2|0|No hay.,64,,No hay.,No hay.,,No hay.,No hay.,,,,No hay.,,,false,2026-07-01T18:10:26.296Z
60|2|0|N/A,60,,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
57|2|0|No hay.,57,,No hay.,No hay.,,No hay.,No hay.,,,,No hay.,,,false,2026-07-01T18:10:26.296Z
48|2|0|SN,48,,SN,N/C,,SN,N/C,,,,SN,,,false,2026-07-01T18:10:26.296Z
46|2|0|1023530,46,,1023530,Arm control board.,,1023530,Arm control board.,,,,1023530,,,false,2026-07-01T18:10:26.296Z
42|2|0|N/A,42,,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
40|2|0|N/A,40,,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
39|2|0|1006737,39,,1006737,PCB SIB ,,1006737,PCB SIB ,,,,1006737,,,false,2026-07-01T18:10:26.296Z
35|2|0|No hay.,35,,No hay.,No Hay.,,No hay.,No Hay.,,,,No hay.,,,false,2026-07-01T18:10:26.296Z
33|2|0|821321900352,33,,821321900352,"Fuse 10A 32 Vac, time delay, glass cartridge 32mm x 6,3 mm (FS32E).",,821321900352,"Fuse 10A 32 Vac, time delay, glass cartridge 32mm x 6,3 mm (FS32E).",,,,821321900352,,,false,2026-07-01T18:10:26.296Z
29|2|0|No hay,29,,No hay,"Amarras plásticas.
Enchufes machos.
Huincha aisladora.",,No hay,"Amarras plásticas.
Enchufes machos.
Huincha aisladora.",,,,No hay,,,false,2026-07-01T18:10:26.296Z
23|2|0|None,23,,None,None,,None,None,,,,None,,,false,2026-07-01T18:10:26.296Z
"222|2|0|Relay sin numero.

Magnetron MG5193",222,,"Relay sin numero.

Magnetron MG5193","Relay de 24 Vdc.

Magnetron e2V Teledyne  Número serie 18351056C",,"Relay sin numero.

Magnetron MG5193","Relay de 24 Vdc.

Magnetron e2V Teledyne  Número serie 18351056C",,,,"Relay sin numero.

Magnetron MG5193",,,false,2026-07-01T18:10:26.296Z
220|2|0|---,220,,---,N/C,,---,N/C,,,,---,,,false,2026-07-01T18:10:26.296Z
217|2|0|,217,,,Ampolleta Halogen 12V / 75w,,,Ampolleta Halogen 12V / 75w,,,,,,,false,2026-07-01T18:10:26.296Z
215|2|0|No hay.,215,,"No hay. 

",No hay,,"No hay. 

",No hay,,,,"No hay. 

",,,false,2026-07-01T18:10:26.296Z
213|2|0|no aplica,213,,no aplica,no hay,,no aplica,no hay,,,,no aplica,,,false,2026-07-01T18:10:26.296Z
211|2|0|9239 315 18204,211,,9239 315 18204,Projector halogen bulb,,9239 315 18204,Projector halogen bulb,,,,9239 315 18204,,,false,2026-07-01T18:10:26.296Z
21|2|0|no hsy,21,,no hsy,no hsy,,no hsy,no hsy,,,,no hsy,,,false,2026-07-01T18:10:26.296Z
205|2|0|45133165177,205,,45133165177,"Thyratron e2v. CX1154L  Teledyne

S/N 39855",,45133165177,"Thyratron e2v. CX1154L  Teledyne

S/N 39855",,,,45133165177,,,false,2026-07-01T18:10:26.296Z
203|2|0|No hay.,203,,"No hay. 
",No Hay. ,,"No hay. 
",No Hay. ,,,,"No hay. 
",,,false,2026-07-01T18:10:26.296Z
199|2|0|1018874,199,,1018874,Diode SI 1N416CM-D023,,1018874,Diode SI 1N416CM-D023,,,,1018874,,,false,2026-07-01T18:10:26.296Z
197|2|0|45133502668 / 1024939 01,197,,45133502668 / 1024939 01,resorte y ventilador ,,45133502668 / 1024939 01,resorte y ventilador ,,,,45133502668 / 1024939 01,,,false,2026-07-01T18:10:26.296Z
195|2|0|,195,,,aceite multisuso,,,aceite multisuso,,,,,,,false,2026-07-01T18:10:26.296Z
184|2|0|4515 330 48000,184,,4515 330 48000,GUN ASSY ,,4515 330 48000,GUN ASSY ,,,,4515 330 48000,,,false,2026-07-01T18:10:26.296Z
182|2|0|4513 331 17858,182,,4513 331 17858,FRU ISO ROTATION ,,4513 331 17858,FRU ISO ROTATION ,,,,4513 331 17858,,,false,2026-07-01T18:10:26.296Z
180|2|0|1017392,180,,1017392,Kit arm actuator ,,1017392,Kit arm actuator ,,,,1017392,,,false,2026-07-01T18:10:26.296Z
179|2|0|1023530,179,,1023530,Arm Control Board - IviewGT,,1023530,Arm Control Board - IviewGT,,,,1023530,,,false,2026-07-01T18:10:26.296Z
177|2|0|S/N 91951712,177,,S/N 91951712,Thales TH 7195 B ,,S/N 91951712,Thales TH 7195 B ,,,,S/N 91951712,,,false,2026-07-01T18:10:26.296Z
175|2|0|No hay.,175,,No hay. ,No hay. ,,No hay. ,No hay. ,,,,No hay. ,,,false,2026-07-01T18:10:26.296Z
171|2|0|8213 219 00352,171,,8213 219 00352,Fusible FS 32 V. 10 AMP. ,,8213 219 00352,Fusible FS 32 V. 10 AMP. ,,,,8213 219 00352,,,false,2026-07-01T18:10:26.296Z
17|3|0|1000095641/7,17,,1000095641/7, Service Slitless Flight  ,,1000095641/7, Service Slitless Flight  ,,,,1000095641/7,,,false,2026-07-01T18:10:26.296Z
17|4|0|451333041000Y,17,,451333041000Y,Drift Tube  ,,451333041000Y,Drift Tube  ,,,,451333041000Y,,,false,2026-07-01T18:10:26.296Z
17|2|0|1515098.,17,, 1515098.  ,Ionic Pum ,, 1515098.  ,Ionic Pum ,,,, 1515098.  ,,,false,2026-07-01T18:10:26.296Z
168|2|0|N/A,168,,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
166|2|0|sn,166,,sn,NC,,sn,NC,,,,sn,,,false,2026-07-01T18:10:26.296Z
164|2|0|,164,,,Gun Filament PSU ,,,Gun Filament PSU ,,,,,,,false,2026-07-01T18:10:26.296Z
162|2|0|SN,162,,SN,NC,,SN,NC,,,,SN,,,false,2026-07-01T18:10:26.296Z
157|2|0|N/A,157,,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
155|2|0|No hay,155,,No hay,No hay,,No hay,No hay,,,,No hay,,,false,2026-07-01T18:10:26.296Z
15|2|0|2456,15,,2456,hhhh,,2456,hhhh,,,,2456,,,false,2026-07-01T18:10:26.296Z
148|2|0|No hay.,148,,"No hay.
",No hay.,,"No hay.
",No hay.,,,,"No hay.
",,,false,2026-07-01T18:10:26.296Z
146|2|0|sin numero,146,,sin numero,lwd 40. grasa EP2,,sin numero,lwd 40. grasa EP2,,,,sin numero,,,false,2026-07-01T18:10:26.296Z
144|2|0|sin numero,144,,sin numero,Grasa EP2. Lubricante WD40,,sin numero,Grasa EP2. Lubricante WD40,,,,sin numero,,,false,2026-07-01T18:10:26.296Z
142|2|0|SN,142,,SN,N/C,,SN,N/C,,,,SN,,,false,2026-07-01T18:10:26.296Z
26|2|0|No hay.,26,,No hay.,Grasa EP2. Aceite liviano. WD40. ,,No hay.,Grasa EP2. Aceite liviano. WD40. ,,,,No hay.,,,false,2026-07-01T18:10:26.296Z
226|2|0|NC,226,,NC,NC,,NC,NC,,,,NC,,,false,2026-07-01T18:10:26.296Z
218|2|0|1501062,218,,1501062,Pcb logical control unit,,1501062,Pcb logical control unit,,,,1501062,,,false,2026-07-01T18:10:26.296Z
216|2|0|,216,,,"Luz alternativa de 12v.
Fusible de 250 v/ 8A.
",,,"Luz alternativa de 12v.
Fusible de 250 v/ 8A.
",,,,,,,false,2026-07-01T18:10:26.296Z
212|5|0|45133904974,212,,45133904974,PCB2 Thumbwheel Table User Interface Side A,,45133904974,PCB2 Thumbwheel Table User Interface Side A,,,,45133904974,,,false,2026-07-01T18:10:26.296Z
210|2|0|821321900352,210,,821321900352,fusible de retardo 10 A,,821321900352,fusible de retardo 10 A,,,,821321900352,,,false,2026-07-01T18:10:26.296Z
208|2|0|,208,,,Assembly usados,,,Assembly usados,,,,,,,false,2026-07-01T18:10:26.296Z
204|2|0|no hay,204,,no hay,no hay,,no hay,no hay,,,,no hay,,,false,2026-07-01T18:10:26.296Z
202|2|0|No hay.,202,,No hay.  ,No hay.  ,,No hay.  ,No hay.  ,,,,No hay.  ,,,false,2026-07-01T18:10:26.296Z
200|2|0|,200,,,"Un extensor USB. 
Un extensor VGA + USB.  
Dos mouse  Genius. 
Dos teclados Genius.  
Un concentrador USB.  
Un soporte de monitor.  
Un monitor 22"" Hp.  
Dos cables red Cat5,  30 metros. 
",,,"Un extensor USB. 
Un extensor VGA + USB.  
Dos mouse  Genius. 
Dos teclados Genius.  
Un concentrador USB.  
Un soporte de monitor.  
Un monitor 22"" Hp.  
Dos cables red Cat5,  30 metros. 
",,,,,,,false,2026-07-01T18:10:26.296Z
198|2|0|1016474,198,,1016474,2 Unidades - DLG Brake,,1016474,2 Unidades - DLG Brake,,,,1016474,,,false,2026-07-01T18:10:26.296Z
194|2|0|,194,,,Bomba Turbo,,,Bomba Turbo,,,,,,,false,2026-07-01T18:10:26.296Z
192|6|0|1516753,192,,1516753,Tarjeta Electrónica Tiratrón Pulser,,1516753,Tarjeta Electrónica Tiratrón Pulser,,,,1516753,,,false,2026-07-01T18:10:26.296Z
192|7|0|160406,192,,160406,Tarjeta Electrónica Generadora de Pulsos PPG,,160406,Tarjeta Electrónica Generadora de Pulsos PPG,,,,160406,,,false,2026-07-01T18:10:26.296Z
192|5|0|45133165177,192,,45133165177,Válvula Electrónica de Alta Tensión - Tiratrón,,45133165177,Válvula Electrónica de Alta Tensión - Tiratrón,,,,45133165177,,,false,2026-07-01T18:10:26.296Z
190|2|0|NC,190,,NC,sin repuesto,,NC,sin repuesto,,,,NC,,,false,2026-07-01T18:10:26.296Z
189|2|0|NC,189,,NC,Sin repuesto,,NC,Sin repuesto,,,,NC,,,false,2026-07-01T18:10:26.296Z
185|2|0|01 OF ELK2 / 8113 024 252101j,185,,01 OF ELK2 / 8113 024 252101j,motor 01of  ELK2 / Tornillo,,01 OF ELK2 / 8113 024 252101j,motor 01of  ELK2 / Tornillo,,,,01 OF ELK2 / 8113 024 252101j,,,false,2026-07-01T18:10:26.296Z
181|2|0|N/A,181,,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
18|2|0|No hay,18,,No hay,- Grasa Ep2  - Paños de limpieza. - WD40. - Alcohol isopropilico.,,No hay,- Grasa Ep2  - Paños de limpieza. - WD40. - Alcohol isopropilico.,,,,No hay,,,false,2026-07-01T18:10:26.296Z
178|2|0|9239 315 18204,178,,9239 315 18204,Ampolleta PHILLIPS ,,9239 315 18204,Ampolleta PHILLIPS ,,,,9239 315 18204,,,false,2026-07-01T18:10:26.296Z
176|2|0|8213 219 00352,176,,8213 219 00352,fusible FS 32 V. 10 Amp,,8213 219 00352,fusible FS 32 V. 10 Amp,,,,8213 219 00352,,,false,2026-07-01T18:10:26.296Z
174|2|0|1517657,174,,1517657,Leaf Motor Drive Board de Banco Y12,,1517657,Leaf Motor Drive Board de Banco Y12,,,,1517657,,,false,2026-07-01T18:10:26.296Z
172|2|0|N/A,172,,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
170|2|0|8213 219 00352,170,,8213 219 00352,fusible FS 32 V. 10 Amp,,8213 219 00352,fusible FS 32 V. 10 Amp,,,,8213 219 00352,,,false,2026-07-01T18:10:26.296Z
"169|2|0|1509981

Numero Serie 150998117084.",169,,"1509981

Numero Serie 150998117084. ",Gun Filament Power Supply. ,,"1509981

Numero Serie 150998117084. ",Gun Filament Power Supply. ,,,,"1509981

Numero Serie 150998117084. ",,,false,2026-07-01T18:10:26.296Z
167|2|0|CX1154L,167,,CX1154L,Válvula Electrónica Tiratrón marca Elekta Nro de Serie 38884 (nueva),,CX1154L,Válvula Electrónica Tiratrón marca Elekta Nro de Serie 38884 (nueva),,,,CX1154L,,,false,2026-07-01T18:10:26.296Z
163|2|0|sn,163,,sn,nc,,sn,nc,,,,sn,,,false,2026-07-01T18:10:26.296Z
161|2|0|,161,,,"1 HD 146 gb HP para Servidor Proliant 653950-001
2 UPSs Eaton y APC",,,"1 HD 146 gb HP para Servidor Proliant 653950-001
2 UPSs Eaton y APC",,,,,,,false,2026-07-01T18:10:26.296Z
16|2|0|none,16,,none,none,,none,none,,,,none,,,false,2026-07-01T18:10:26.296Z
158|2|0|N/A,158,,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
152|2|0|1510260,152,,1510260,KV Panel Detector,,1510260,KV Panel Detector,,,,1510260,,,false,2026-07-01T18:10:26.296Z
150|2|0|sin numero,150,,sin numero,wd40 . limpia contacto . paños de limpieza ,,sin numero,wd40 . limpia contacto . paños de limpieza ,,,,sin numero,,,false,2026-07-01T18:10:26.296Z
149|2|0|653950-001,149,,653950-001,Disco HP 146GB 15K 6G SSF SAS HDD,,653950-001,Disco HP 146GB 15K 6G SSF SAS HDD,,,,653950-001,,,false,2026-07-01T18:10:26.296Z
147|2|0|N/A,147,,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
145|2|0|1509981. ISS 02.   S/N 150998117091,145,,1509981. ISS 02.   S/N 150998117091,Gun Filament Power Supply,,1509981. ISS 02.   S/N 150998117091,Gun Filament Power Supply,,,,1509981. ISS 02.   S/N 150998117091,,,false,2026-07-01T18:10:26.296Z
141|2|0|sn,141,,sn,no hay,,sn,no hay,,,,sn,,,false,2026-07-01T18:10:26.296Z
139|2|0|No hay.,139,,No hay.,No hay.,,No hay.,No hay.,,,,No hay.,,,false,2026-07-01T18:10:26.296Z
135|2|0|1014474,135,,1014474,Cable asst Sw1/Sw2 to Sk13A7,,1014474,Cable asst Sw1/Sw2 to Sk13A7,,,,1014474,,,false,2026-07-01T18:10:26.296Z
131|2|0|SN,131,,SN,NO HAY,,SN,NO HAY,,,,SN,,,false,2026-07-01T18:10:26.296Z
128|2|0|SN,128,,SN,N/C,,SN,N/C,,,,SN,,,false,2026-07-01T18:10:26.296Z
122|2|0|No hay.,122,,"No hay.  
",No hay. ,,"No hay.  
",No hay. ,,,,"No hay.  
",,,false,2026-07-01T18:10:26.296Z
120|2|0|modelo 5295001R001,120,,modelo 5295001R001,Fuente de Bonbas de Vacio,,modelo 5295001R001,Fuente de Bonbas de Vacio,,,,modelo 5295001R001,,,false,2026-07-01T18:10:26.296Z
119|2|0|Transistores C3907,119,,Transistores C3907,"Fusible 2Amp. 250V.

4 transistores de potencia. ",,Transistores C3907,"Fusible 2Amp. 250V.

4 transistores de potencia. ",,,,Transistores C3907,,,false,2026-07-01T18:10:26.296Z
111|2|0|No hay.,111,,No hay.,No hay.,,No hay.,No hay.,,,,No hay.,,,false,2026-07-01T18:10:26.296Z
108|2|0|1500954,108,,1500954,Tarjeta Controladora de Voltaje,,1500954,Tarjeta Controladora de Voltaje,,,,1500954,,,false,2026-07-01T18:10:26.296Z
102|2|0|sin numero,102,,sin numero,sin repuesto,,sin numero,sin repuesto,,,,sin numero,,,false,2026-07-01T18:10:26.296Z
100|2|0|03-999-1204,100,,03-999-1204,Calibration Tool SN: 2016030911,,03-999-1204,Calibration Tool SN: 2016030911,,,,03-999-1204,,,false,2026-07-01T18:10:26.296Z
138|2|0|N/A,138,,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
134|2|0|N/A,134,,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
132|2|0|sn,132,,sn,no hay,,sn,no hay,,,,sn,,,false,2026-07-01T18:10:26.296Z
130|2|0|No hay,130,,"No hay
",No hay,,"No hay
",No hay,,,,"No hay
",,,false,2026-07-01T18:10:26.296Z
129|2|0|no.,129,,no.,no se utilizaron.,,no.,no se utilizaron.,,,,no.,,,false,2026-07-01T18:10:26.296Z
127|2|0|N/A,127,,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
125|2|0|S/N,125,,S/N,NC,,S/N,NC,,,,S/N,,,false,2026-07-01T18:10:26.296Z
121|2|0|No hay.,121,,"No hay.  
",Wd40. Paños de limpieza.  ,,"No hay.  
",Wd40. Paños de limpieza.  ,,,,"No hay.  
",,,false,2026-07-01T18:10:26.296Z
12|2|0|HN-M101MBB/Z4,12,,HN-M101MBB/Z4,HDD Samsung 1TB,,HN-M101MBB/Z4,HDD Samsung 1TB,,,,HN-M101MBB/Z4,,,false,2026-07-01T18:10:26.296Z
118|2|0|N/A,118,,N/A,N/A,,N/A,N/A,,,,N/A,,,false,2026-07-01T18:10:26.296Z
